"","id","as","lsg","oldstat","func","rel","assn","drink","status","howknow","cucard","survey","change","why","time","shift","shtime","fam","knnosw","nosw","inc","usenow","nowsw","x","y","distnearest","distcw","distpw","cw50","cw100","cw150","pw50","pw100","pw150","ed","pw","cw","shifted","c50","c50to100","c100to150","p50","p50to100","p100to150","switch","as1to2","as2to3","as3to4","nearest","ed4","safeswitch","safemislabel","safenolabel","switchfunc","arsenic","newstat","as4to965"
"1",1,236,0,12,1,1,0,0,0,12,2,1,"pw",1,30,NA,NA,NA,NA,NA,NA,"",NA,260867.53125,2632851.25,16.826000213623,165.654006958008,16.826000213623,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,1,"switch",0,1,0,"0to50","none",NA,NA,NA,NA,"151to250","unsafe",0
"2",2,71,1,2,1,1,0,1,0,12,1,1,"pw",1,24,NA,NA,NA,34,NA,NA,"",NA,260817.375,2632870.25,47.3219985961914,135.822998046875,47.3219985961914,0,0,1,1,2,7,0,1,0,0,0,0,1,1,1,1,"switch",0,0,0,"0to50","none",NA,NA,NA,NA,"51to150","unsafe",0
"3",3,207,1,3,1,3,0,1,0,1,0,1,"no",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,260873.78125,2632848.75,20.9669990539551,170.123001098633,20.9669990539551,0,0,0,1,1,3,10,0,0,0,0,0,0,1,0,1,"noswitch",0,1,0,"0to50","6to10",NA,NA,NA,NA,"151to250","unsafe",0
"4",4,115,0,12,1,1,0,0,0,12,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260833,2632839,21.4860000610352,129.404006958008,21.4860000610352,0,0,1,1,1,4,12,1,0,0,0,0,1,1,0,1,"switch",1,0,0,"0to50","over10",NA,NA,NA,NA,"51to150","unsafe",0
"5",5,196,0,12,0,1,1,23,0,12,1,1,"pw",0,2,NA,NA,NA,1,NA,NA,"",7,260858.328125,2632808.5,32.5820007324219,141.841003417969,32.5820007324219,0,0,1,1,1,1,12,1,0,0,0,0,1,1,0,0,"switch",1,0,0,"0to50","over10",NA,NA,NA,NA,"151to250","unsafe",0
"6",6,110,0,1,1,2,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,1,NA,"",NA,260830.28125,2632807.75,40.8740005493164,114.582000732422,40.8740005493164,0,0,1,1,1,2,14,1,0,0,0,0,1,1,0,1,"switch",1,0,0,"0to50","over10",NA,NA,NA,NA,"51to150","unsafe",0
"7",7,141,1,0,0,3,1,1,2,NA,0,0,"pw",1,24,NA,NA,NA,NA,NA,NA,"",8,260866.921875,2632886.5,47.3139991760254,183.97200012207,47.3139991760254,0,0,0,1,2,8,0,1,0,0,0,0,0,1,1,2,"switch",1,0,0,"0to50","none",NA,NA,NA,NA,"51to150","unsafe",0
"8",8,390,0,2,1,1,1,0,0,12,0,1,"pw",1,12,NA,NA,NA,NA,NA,NA,"",NA,260789.875,2632779,69.5179977416992,69.5179977416992,89.2789993286133,0,1,1,0,1,1,9,1,0,0,0,1,0,0,1,0,"switch",0,0,1,"50to100","6to10",NA,NA,NA,NA,"351to450","unsafe",0
"9",9,297,0,2,1,1,1,0,0,12,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260801.171875,2632774.25,80.7109985351562,80.7109985351562,85.1750030517578,0,1,1,0,1,1,4,1,0,0,0,1,0,0,1,0,"switch",0,1,0,"50to100","1to5",NA,NA,NA,NA,"251to350","unsafe",0
"10",10,324,0,1,1,1,0,0,0,1,1,1,"pw",1,6,NA,NA,NA,NA,NA,NA,"",NA,260774.828125,2632784.25,55.1459999084473,55.1459999084473,97.5690002441406,0,1,1,0,1,2,10,1,0,0,0,1,0,0,1,1,"switch",0,0,1,"50to100","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"11",11,328,0,12,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260773.03125,2632778,52.6469993591309,52.6469993591309,102.734001159668,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,1,"switch",0,0,1,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"12",13,252,0,12,1,1,1,0,0,12,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260790.375,2632747.75,75.0719985961914,75.0719985961914,112.98999786377,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
